"","total","group1","group2","within"
"X13",1.05479976288562,0.254705077638077,0.310650308196579,0.489444377050965
"X14",1.12004303331929,0.185450632214454,0.2842720062209,0.650320394883938
"X15",1.54389589143312,0.256393822138499,0.503935176735686,0.783566892558935
"X16",3.03097232624102,0.816596001122328,0.92731388031255,1.28706244480614
"X17",0.908653040626349,0.230727069524945,0.278364693040351,0.399561278061052
"X18",0.95014427952599,0.238925918938387,0.207279840727183,0.50393851986042
"X19",1.61385536857394,0.408197726677456,0.511459697176689,0.694197944719794
"X20",1.79392970976726,0.190567544870148,0.819490445770043,0.783871719127072
"X21",1.19021662540886,0.204921345623679,0.292766089979554,0.692529189805624
"X22",1.0439412202118,0.124415766970006,0.282956199487377,0.636569253754413
"X23",1.06742056220587,0.128943463428014,0.261013644619462,0.677463454158389
"X24",1.24062093262023,0.389448383893657,0.305344963617961,0.545827585108616
"X25",2.12567452922193,0.445920440944693,0.871318036263009,0.808436052014226
"X26",0.648909335325039,0.0427023961439547,0.193685247330166,0.412521691850919
"X27",1.1391240915168,0.133778298454142,0.322466324645611,0.682879468417047
"X28",2.02108484121084,0.526362251628304,0.538335904571327,0.956386685011214
"X29",1.33788288318547,0.182188410261841,0.376589432357896,0.779105040565729
"X30",0.622939628813445,0.128363156729346,0.137831066440299,0.3567454056438
"X31",0.762102034465081,0.0738097713418045,0.230883773118289,0.457408490004988
"X32",1.41821339034806,0.280752059422811,0.452145806226938,0.685315524698313
"X33",1.54681493493457,0.366758167020578,0.570335166075194,0.609721601838797
"X34",0.600507850411913,0.0918323421318472,0.180421423364651,0.328254084915415
"X35",0.583723535094363,0.123694464265249,0.119845568721162,0.340183502107952
"X36",0.692040041844853,0.0552628632518666,0.174369569964881,0.462407608628106
"X37",1.01379774918251,0.173254638467417,0.344636270393329,0.495906840321762
"X39",0.698316787281489,0.127509095798253,0.189807861932819,0.380999829550416
"X40",1.10771109764623,0.343002404311461,0.37643049163688,0.388278201697889
"X41",1.13781259621573,0.221946311652403,0.242210425643102,0.673655858920229
"X42",1.34654316892167,0.276749431862647,0.299810938840038,0.769982798218986
"X43",3.02071350113092,0.505841804554041,1.16975138962762,1.34512030694926
